wallet_address,trade_volume_usd,trade_count,sol_balance,avg_trade_size_usd,unique_tokens_traded,distinct_transactions
5fzAQToX7ffQqfejR7n74aEaQ7w9ipeMTGnbWDVinr9y,24808.51,39,,636.12,6,39
HWVE12oWWqnn8Pjm2EuJZ9LLbxLyYQ4oZhHJsNd8xfqa,15585.97,21,,742.19,2,21
4cDKqdQBP3pAZNveEKuJR5ZHDPkLdHMBnydELVM7Zh8Y,11570.87,9,,1285.65,2,9
BJK6W1Nc8Lx8qLTuW61jpG9mT4RGjuJSm3xt1kQRHAJy,9709.18,14,,693.51,2,14
29qLMFFBoaZsXxnzSwHCPr81N7TRwUUqVCSZB6WydNLm,4516.27,5,,903.25,2,5
GYmi7hAgHwWDt2xudfY3mma3BsQM3udpijaTsCfasQPE,5493.9,9,,610.43,2,9
2vXw9gQ74aiV5yTKUpyorudP6ADvnbwHAPMCJoqUy1wb,5467.57,6,,911.26,2,6
6ACjkBLnAGTWx1rntExL8vpbzwEvYDcqoDp1XHorGGhN,5534.54,10,,553.45,3,10
EATfKb6Vq16jvsJtwaywRgWGv7H4UmEQUSVxdgQrhxEG,7998.58,14,,571.33,2,14
5dnWK8GskmbBPBdmitJ7Ukd8F9Bh78zTKF8bKJmqj5vC,6451.16,7,,921.59,2,7
D4Amh1caP1GgmFj9TB38ypSkxPJ7wSpZfQuL2itZ49qj,11145.96,12,,928.83,2,12
CNGTwycojHitS5dbwP1fU4TtVreCL2D3o4h3sruGMie8,8089.18,13,,622.24,2,13
BT3CdWkZu8Fsfqjk1isBe7kcTtT9p7hULa4uLe6s1eGL,24175.16,17,,1422.07,4,17
EUZLgV9mvV7oFCE4vRqNjmKjQBNfTM1ep1tHUk2vfJ6G,18750.33,8,,2343.79,2,8
GU1B436YDm1HxeGyQt4qDLPWoGsU5dCJVQedtEu5ChXs,6051.59,7,,864.51,2,7
EAiwm7jocc1TwLXbdAgwb3x4fyYrs78Qg32FuRNkXzhx,10498.21,7,,1499.74,2,7
EATWbLBfYy2d2EHazgt5tnbqXqmdc61tHEk29naEWHFK,7049.82,9,,783.31,2,9
4QgPfjaqB1B6Ud1Z3TsZeJ8vvhhRwg3baZDZFesj7ZA3,16972.87,9,,1885.87,2,9
DbtzCzny4jPrVtkeuFv4ipYqbwMmV5YcWYvwodJ5uadW,1856.74,3,,618.91,2,3
AFTHwGnPHUUbKgkRXuLY55wGbv5wFW4bUW2D7PMY1kiu,6487.89,4,,1621.97,2,4
EATgifyaQjTPnnGk6sTs23NddPHA3BpzFSY8MAq5GQ3v,9714.44,12,,809.54,2,12
13RYjni1BKtnohDjxDRDjvZhrSiBZcErj4nTfGy18w9D,17394.13,9,,1932.68,2,9
4BN5QfzMZK2hbAs8aZBFkvf6rzPEB212EjAs5nSW6hbH,7028.14,9,,780.9,2,9
EATbLy4kCzPLzcFvHEDNhzek296Kde2x2uAezU1XHFXb,3520.27,6,,586.71,2,6
BnjUsqVqjF3GGZjdKEkQytbQZPCGh5sawwsrZXYYxcac,17960.66,11,,1632.79,2,11
CKH1LDzvVCGz2CbnRJJEzSNnJfDPiSLB6js59UBLBtEy,7005.97,7,,1000.85,2,7
BnhhgNpfLkM6SCqVA4vwmYSqMqMzDZSSganze32How4m,17649.44,18,,980.52,2,18
7BrD5GVFWRPViyghetkX5SiV6v9DFj98QgUh8TRQEyRN,7570.19,8,,946.27,2,8
CAsnX1Z2Du9yqKtnTiMWYYWNJzwAobFbyzkdJpSuV2VG,8401.66,5,,1680.33,2,5
z2neaZxFwYcvRUfbv8sXqPDhnQWbxWoAGXK9cD4vS8H,9358.73,6,,1559.79,2,6
wTetymv4Bhdar8QjvgY1kAKHacDv9ji7eD8N9MjyRqt,4228.95,5,,845.79,2,5
CEMBm7nj2vAyS7EhAQPEnQ7mZvn3iiuEzYHsPbguqbEQ,4572.87,8,,571.61,2,8
6QpA7D1TBHyoGNbhCTepVDYD9Hamaw4eVNNfqJum86t6,4078.14,8,,509.77,2,8
AUMwkDru7zSTkYs6NQBzQzK7aYoNuQgAHRkBJsBdc91s,3039.29,6,,506.55,2,6
FDud4sqp3Ve9CmRK4pkfdLmmu4QXF3bHSRMEbmpezjeg,8671.08,8,,1083.88,2,8
AKF2s4NZKFaiRvkmVAn7dYwzPysK2F2zEQdqdQ9Vr8j7,4757.41,2,,2378.7,2,2
68Fq3kPFaNFE3iBPrAoSZqUB5PNvaExxbesFXLYWkT9r,9960.5,6,,1660.08,2,6
DQ4H6HqQScbEyrL8qHSv5LtuYHubNVrwoPMsYo2WfGVr,3378.88,4,,844.72,2,4
9Bri68SNsiAvgtBaFF4amENnBAaqLs2PX7X4k1Y55em2,2512.27,3,,837.42,2,3
FTrCAsx5xwrscuPtWcAt7NkVuVM7XFDkHHzjsSKJn2ZU,25080.04,20,,1254.0,3,20
A4tKLPHgfsgwayvLs38vt4vZTKua9yMzPeGi31LMWuHs,10633.23,9,,1181.47,2,9
FPbbSuAVCezfiW5ZyjUBi6SZ2PwRDNVGH38c8gFwXpEN,7454.33,10,,745.43,2,10
3JRnydFBLQUXXXH5kWtscbxjRDSiajaiW2DJyP8GvNhB,4027.81,7,,575.4,2,7
EATwhiAGLrbsXTjfbBPkpubcycb17ccFYaiqAqrGXDi,4239.85,6,,706.64,2,6
GiKFXzrTMPUxFpkJBcVQos3tSmUxZdmzKaa9yLgj8K7q,8293.15,8,,1036.64,2,8
9RLAx832C5LTwuFrzTLNBvjxR428LgEPjNGuLAX4GKva,20028.65,9,,2225.41,2,9
7F4nK8DjpWVJMsd9FHUcVyoCrSaypUbzjx64Lj4njhx6,8316.36,10,,831.64,2,10
7nW7vm6HrqNNgsPqDKNmSuerXqe4s8BhboH79ChyDkbS,11400.84,10,,1140.08,2,10
CYPNcGZauYqfW3Po8oAJ6rJQXD58nDUKo2nBeY3R1i58,5654.59,4,,1413.65,2,4
3CbL1LphDK267Hqc9NZQWFjz7xZmSMTvm8KfUPg1CjW3,12555.22,6,,2092.54,2,6
7na4pMmybivc4rbGgHSH8Xm2LKf8WfMejCHT7WZ1GZGi,6040.88,6,,1006.81,2,6
Ce6h6uuENxwYNNsTDB9xo6m1muaZ6zGoPqGe2xwiwBA2,4977.67,9,,553.07,2,9
iANNiJcUBC2aFe4ub3jEQwBBNrh3fvWPmdUaVPNfiBk,9139.59,4,,2284.9,2,4
DiBiwF5kwvhFc5EGkXE6Pje3XoqMmWjvE9MVtXjZhfft,11207.18,6,,1867.86,2,6
31v4kJDxss5Yb4nnvCPP9PMgrtwz2MTK4iqy9wjnRpXJ,3241.6,4,,810.4,2,4
EATBEigrsuX4PKxshnJ4SDa1Mm7DG9rv8UpbtaQ1Tany,2428.64,4,,607.16,2,4
3z23uDAFbyb7UG5E1CzYBbhTxqdLB6xHLRjkuvWsbHg2,2389.13,2,,1194.56,2,2
9CWt4Eru6m8oxJU8yiPtLxteqKEWpFpYmXusohz1HZU1,2805.17,4,,701.29,2,4
FaBGrHWjcJ8vKnbgUtsdpZjvF7YAAajtQTWmmEHiKtQr,2125.53,3,,708.51,2,3
J5jgwru6E2pYdJmNMmbzm1ALahJWe4t7YuKxQKjEYYmU,12939.52,16,,808.72,2,16
EYr3JrnQcJXfGKn7Ezsvu1h5KnFfsSKSvLxt9e1EmQ8x,24083.03,23,,1047.09,2,23
2YpJ95PLCEUHAgd9rfS3LgbXLihybPSVXqJ1aHW1FzaX,16644.91,14,,1188.92,2,14
AzNKtSo6YrRzUqDVLryUYsY5oWvPHAt78u62Tg1VCDNa,20357.38,26,,782.98,2,26
Hxq4fNV2QWP7NARUiKy8WwfKArJzF2TXfeMznDTzrH1f,12567.38,13,,966.72,2,13
6aB8oV8VYkt2zPhb9cbSsW3GdVdmGEbkMfbr9VeZX8S4,7014.5,11,,637.68,3,11
53VHQyDzzvJ36VgfzDZ85WdyL6VoD8vTaBn9bDoYzM4K,10571.7,10,,1057.17,2,10
DDiGkfMwdQmShyntJ1Gt98ocdzPFC9SHaGk5mVxVE1Ga,17313.91,14,,1236.71,2,14
H5u8ZLa32KwCzYR7wroDJWeUfdGVCj8yMHxcUHLcYMHi,8360.44,12,,696.7,2,12
58zz4up1qdwMhqxkrXJeq6LhWxT28UF5V8GbDQJXeMvx,27193.67,20,,1359.68,2,20
4ZWWTHkJG9iZbyXm2gQvtVgTVqgFQGLYKYAviAEezTtf,32035.02,28,,1144.11,2,28
FDKBwNPyb9a64D55KGuhLL4eo6QwN7gFDMWHbbrpfMdj,5990.25,8,,748.78,3,8
3ZRdU8urPkrvSeHC91KZVvQVhVZ1nnV967BPAnscwCZL,28846.77,32,,901.46,3,32
DkyrJ2Mcx1weMbAz1t2NbkjGfyDexny1uBvRsiNsug7C,11115.58,14,,793.97,2,14
B1TuVHrv6yJz9s2imphvwE347VTaxdTdLkWPvCdC462F,11145.77,11,,1013.25,4,11
GZkgxSpD6fDAibJrt5k7YRudQccagHj8VAj54MSqoDxz,5703.07,10,,570.31,2,10
DPxdDJrahgJUrnxSRABqZDdsqvZH4hQ1Kei7a8ftTYi5,10644.25,15,,709.62,3,15
8BCok7vtzVL1t38T2snoZ7VpUTH8TqRseM6W7SmPn6qE,18687.09,18,,1038.17,2,18
FUbqS3pS7dfZf6c4bPA487a18jLec5ZSa3zmj7ZyWU5q,14607.12,21,,695.58,2,21
3CvNvrV2p7BXwmbuU6aAcxwzvcSkbB7WgSjnc5gRFYcN,18294.05,22,,831.55,5,22
9q1B3rSUbvbVQSrhgcG9RdCNoy9z6FwhWFfKYntPsGv8,6665.18,12,,555.43,2,12
5xFMCgegmX54GN4cYvaUHKxZHc4nVSw7FXRANxU48iEz,21302.22,16,,1331.39,2,16
Gq2PWvLMCqGQ5dkfy2kySkvvJoLeGHue3KQ7h6urs4GK,4399.63,5,,879.93,2,5
8AskvCDy3mEgcfcUh58dC8hogstFLdt4M4MLiKS2pnFm,16028.64,8,,2003.58,2,8
BAWF6XjMJWwmDNzHnbqgxSVjvAyq1nNi2sabJAds3nUn,16294.59,14,,1163.9,2,14
6Z6aBiWEg9XxHS3B9irhk9woTcU8gdDUg8YT4sYd5Z4D,1487.78,2,,743.89,2,2
HSVZGszPu39WCoTc7YqYcYViqDkZGy622f9neqTFB62t,4235.78,5,,847.16,2,5
2fhsm7LWRbnSFCoM69hA5aLu4LQrqjHpAhQbdGD7P68d,30317.24,15,,2021.15,2,15
5zV9JkDQdLHRRfumD7bQpHY2hQGkdCgMXsVfCTDzHCcP,4560.72,8,,570.09,2,8
CzYQ2kFnBxsNEt9Zy34vQ3n5fSDhvA4o4XaTnq1rLvyr,11344.65,12,,945.39,2,12
BtahCoXXxR3aGemUvJQmthHxybbBTSAJ4Q2UpjQXB1YY,2444.97,2,,1222.48,2,2
CpNm7rFrXb5WFgKiNMP77YXugQSTzQWgzVCfS7LyBtT5,1213.86,2,,606.93,2,2
8yiKMP7h7KLHwx68J92qHx6vUN59i12LTAkUXVDyntn2,1997.39,2,,998.69,2,2
4G4wDz1ZKBDyAnuhivNJ159b1ugpqhAHzP9Ta1P1G9zk,11176.98,8,,1397.12,2,8
paDUSXrj89PrjMLiq9jwAzVurGb1yDmR6VvKyPgF4HX,3032.81,5,,606.56,2,5
7wvUY3rbBPbMqCSer4QJG8rA2bdid6yF4nUmD3aWdNay,2602.61,2,,1301.31,2,2
3Jj9bvN8EGqWtTekJ4oLzofRP2YfB5Jqha23Qg9FK4bG,10128.61,7,,1446.94,2,7
